parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
mu[1],-0.571642,0.0112753,0.37009,0.362688,-1.15332,-0.583821,0.0445979,1107.32,2504.77,2.42776,1.00753,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
mu[2],-1.08414,0.00292577,0.122482,0.122586,-1.2918,-1.08079,-0.888898,1763.41,3586.77,3.86623,1.0013,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
mu[3],-3.30375,0.0104882,0.454897,0.449189,-4.07279,-3.28997,-2.57677,1917.5,3890.73,4.20407,1.00194,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
tau[1],2.32805,0.00537152,0.342174,0.34857,1.80915,2.3094,2.92999,4017.44,5206.53,8.80814,1.0006,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
tau[2],0.870182,0.00257101,0.102325,0.0995777,0.706812,0.865376,1.04561,1577.91,3149.35,3.45952,1.00133,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
tau[3],2.31304,0.00577654,0.369086,0.366063,1.74593,2.29116,2.95607,4043.33,5207.53,8.86489,1.00055,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"beta[1,1]",0.183205,0.00508897,0.270596,0.267057,-0.259201,0.182645,0.628215,2851.67,4088.81,6.25221,1.00077,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"beta[2,1]",-0.0689303,0.00242051,0.10179,0.0995629,-0.235954,-0.0683512,0.098699,1772.14,3237.33,3.88536,1.00156,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"beta[3,1]",-0.184974,0.00572171,0.305403,0.303301,-0.692204,-0.183601,0.318361,2868.51,3854.92,6.28913,1.00169,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[1,1]",0.35394,0.00473604,0.29436,0.298165,0.0137622,0.270358,0.925259,3927.16,5102.36,8.61019,1.00108,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[1,2]",0.173351,0.00124245,0.108132,0.0930522,0.044725,0.150445,0.378647,7035.74,5679.44,15.4257,1.00014,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[1,3]",0.157765,0.00269506,0.208325,0.0918022,0.00223192,0.071679,0.654938,6760.07,6078.63,14.8213,1.00032,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[2,1]",0.4522,0.00441961,0.284509,0.334329,0.0384519,0.413806,0.94781,4004.86,3996.71,8.78055,1.00158,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[2,2]",0.213919,0.00148414,0.123951,0.113156,0.0551387,0.190799,0.444337,6150.15,4967.83,13.484,1.00013,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[2,3]",0.089621,0.00237365,0.158102,0.0397016,0.00148331,0.0320429,0.403237,5958.15,4851.98,13.0631,1.0006,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[3,1]",0.48646,0.00383203,0.251031,0.28854,0.131698,0.451645,0.934292,4589.49,4067.03,10.0623,1.00108,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[3,2]",0.268222,0.0017091,0.134559,0.116646,0.0965132,0.245965,0.520658,6164.92,5415.16,13.5164,1.0002,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[3,3]",0.0521721,0.000713907,0.0645792,0.0384086,0.00162697,0.033222,0.159189,6454.22,5232.8,14.1507,1.0003,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[4,1]",0.691464,0.00460561,0.275311,0.251527,0.14134,0.785957,0.987757,3840.68,4626.8,8.42058,1.00144,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
