metric,generating,fitted,selection_probability
AICc,M0,M0,0.8155339805825242
AICc,M0,M1,0.07766990291262135
AICc,M0,M2,0.0048543689320388345
AICc,M0,M2_power,0.019417475728155338
AICc,M0,M3,0.009708737864077669
AICc,M0,M4,0.0048543689320388345
AICc,M0,M5,0.009708737864077669
AICc,M0,M5_power,0.0048543689320388345
AICc,M0,M6,0.024271844660194174
AICc,M0,M7,0.007281553398058253
AICc,M0,M8,0.014563106796116505
AICc,M0,preference,0.007281553398058253
AICc,M1,M0,0.6067961165048543
AICc,M1,M1,0.23786407766990292
AICc,M1,M2,0.019417475728155338
AICc,M1,M2_power,0.024271844660194174
AICc,M1,M3,0.02912621359223301
AICc,M1,M4,0.0048543689320388345
AICc,M1,M5,0.019417475728155338
AICc,M1,M5_power,0.0048543689320388345
AICc,M1,M6,0.009708737864077669
AICc,M1,M7,0.0
AICc,M1,M8,0.024271844660194174
AICc,M1,preference,0.019417475728155338
AICc,M2,M0,0.5
AICc,M2,M1,0.14563106796116504
AICc,M2,M2,0.13106796116504854
AICc,M2,M2_power,0.043689320388349516
AICc,M2,M3,0.04854368932038835
AICc,M2,M4,0.009708737864077669
AICc,M2,M5,0.043689320388349516
AICc,M2,M5_power,0.0
AICc,M2,M6,0.019417475728155338
AICc,M2,M7,0.0048543689320388345
AICc,M2,M8,0.02912621359223301
AICc,M2,preference,0.024271844660194174
AICc,M2_power,M0,0.23300970873786409
AICc,M2_power,M1,0.17475728155339806
AICc,M2_power,M2,0.0825242718446602
AICc,M2_power,M2_power,0.3155339805825243
AICc,M2_power,M3,0.06796116504854369
AICc,M2_power,M4,0.03398058252427184
AICc,M2_power,M5,0.009708737864077669
AICc,M2_power,M5_power,0.019417475728155338
AICc,M2_power,M6,0.014563106796116505
AICc,M2_power,M7,0.0
AICc,M2_power,M8,0.014563106796116505
AICc,M2_power,preference,0.03398058252427184
AICc,M3,M0,0.11165048543689321
AICc,M3,M1,0.024271844660194174
AICc,M3,M2,0.03398058252427184
AICc,M3,M2_power,0.009708737864077669
AICc,M3,M3,0.5016181229773462
AICc,M3,M4,0.16181229773462785
AICc,M3,M5,0.021035598705501618
AICc,M3,M5_power,0.019417475728155338
AICc,M3,M6,0.07281553398058252
AICc,M3,M7,0.009708737864077669
AICc,M3,M8,0.0048543689320388345
AICc,M3,preference,0.02912621359223301
AICc,M4,M0,0.0970873786407767
AICc,M4,M1,0.05825242718446602
AICc,M4,M2,0.019417475728155338
AICc,M4,M2_power,0.014563106796116505
AICc,M4,M3,0.26860841423948223
AICc,M4,M4,0.3948220064724919
AICc,M4,M5,0.02912621359223301
AICc,M4,M5_power,0.02912621359223301
AICc,M4,M6,0.05016181229773463
AICc,M4,M7,0.0048543689320388345
AICc,M4,M8,0.014563106796116505
AICc,M4,preference,0.019417475728155338
AICc,M5,M0,0.13106796116504854
AICc,M5,M1,0.04854368932038835
AICc,M5,M2,0.014563106796116505
AICc,M5,M2_power,0.014563106796116505
AICc,M5,M3,0.05339805825242718
AICc,M5,M4,0.0970873786407767
AICc,M5,M5,0.441747572815534
AICc,M5,M5_power,0.09223300970873786
AICc,M5,M6,0.014563106796116505
AICc,M5,M7,0.024271844660194174
AICc,M5,M8,0.009708737864077669
AICc,M5,preference,0.05825242718446602
AICc,M5_power,M0,0.04854368932038835
AICc,M5_power,M1,0.024271844660194174
AICc,M5_power,M2,0.019417475728155338
AICc,M5_power,M2_power,0.21359223300970873
AICc,M5_power,M3,0.03317152103559871
AICc,M5_power,M4,0.057443365695792885
AICc,M5_power,M5,0.18608414239482202
AICc,M5_power,M5_power,0.30097087378640774
AICc,M5_power,M6,0.014563106796116505
AICc,M5_power,M7,0.007281553398058253
AICc,M5_power,M8,0.009708737864077669
AICc,M5_power,preference,0.08495145631067962
AICc,M6,M0,0.10194174757281553
AICc,M6,M1,0.05339805825242718
AICc,M6,M2,0.024271844660194174
AICc,M6,M2_power,0.02912621359223301
AICc,M6,M3,0.09546925566343042
AICc,M6,M4,0.08576051779935276
AICc,M6,M5,0.014563106796116505
AICc,M6,M5_power,0.0048543689320388345
AICc,M6,M6,0.3964401294498382
AICc,M6,M7,0.024271844660194174
AICc,M6,M8,0.038834951456310676
AICc,M6,preference,0.13106796116504854
AICc,M7,M0,0.0970873786407767
AICc,M7,M1,0.03398058252427184
AICc,M7,M2,0.014563106796116505
AICc,M7,M2_power,0.0048543689320388345
AICc,M7,M3,0.11084142394822005
AICc,M7,M4,0.13754045307443366
AICc,M7,M5,0.15695792880258902
AICc,M7,M5_power,0.05825242718446602
AICc,M7,M6,0.12864077669902912
AICc,M7,M7,0.06310679611650485
AICc,M7,M8,0.019417475728155338
AICc,M7,preference,0.17475728155339806
AICc,M8,M0,0.20388349514563106
AICc,M8,M1,0.10679611650485436
AICc,M8,M2,0.06796116504854369
AICc,M8,M2_power,0.05339805825242718
AICc,M8,M3,0.03802588996763754
AICc,M8,M4,0.04288025889967638
AICc,M8,M5,0.016181229773462782
AICc,M8,M5_power,0.009708737864077669
AICc,M8,M6,0.019417475728155338
AICc,M8,M7,0.01699029126213592
AICc,M8,M8,0.3932038834951456
AICc,M8,preference,0.03155339805825243
AICc,preference,M0,0.06796116504854369
AICc,preference,M1,0.02912621359223301
AICc,preference,M2,0.014563106796116505
AICc,preference,M2_power,0.009708737864077669
AICc,preference,M3,0.11084142394822005
AICc,preference,M4,0.15938511326860844
AICc,preference,M5,0.127831715210356
AICc,preference,M5_power,0.04854368932038835
AICc,preference,M6,0.09223300970873786
AICc,preference,M7,0.019417475728155338
AICc,preference,M8,0.014563106796116505
AICc,preference,preference,0.3058252427184466
BIC,M0,M0,0.9854368932038835
BIC,M0,M1,0.014563106796116505
BIC,M0,M2,0.0
BIC,M0,M2_power,0.0
BIC,M0,M3,0.0
BIC,M0,M4,0.0
BIC,M0,M5,0.0
BIC,M0,M5_power,0.0
BIC,M0,M6,0.0
BIC,M0,M7,0.0
BIC,M0,M8,0.0
BIC,M0,preference,0.0
BIC,M1,M0,0.7475728155339806
BIC,M1,M1,0.23786407766990292
BIC,M1,M2,0.014563106796116505
BIC,M1,M2_power,0.0
BIC,M1,M3,0.0
BIC,M1,M4,0.0
BIC,M1,M5,0.0
BIC,M1,M5_power,0.0
BIC,M1,M6,0.0
BIC,M1,M7,0.0
BIC,M1,M8,0.0
BIC,M1,preference,0.0
BIC,M2,M0,0.7378640776699029
BIC,M2,M1,0.1553398058252427
BIC,M2,M2,0.0970873786407767
BIC,M2,M2_power,0.0
BIC,M2,M3,0.0
BIC,M2,M4,0.0
BIC,M2,M5,0.0048543689320388345
BIC,M2,M5_power,0.0
BIC,M2,M6,0.0
BIC,M2,M7,0.0
BIC,M2,M8,0.0048543689320388345
BIC,M2,preference,0.0
BIC,M2_power,M0,0.42718446601941745
BIC,M2_power,M1,0.17475728155339806
BIC,M2_power,M2,0.06796116504854369
BIC,M2_power,M2_power,0.24757281553398058
BIC,M2_power,M3,0.03398058252427184
BIC,M2_power,M4,0.014563106796116505
BIC,M2_power,M5,0.0048543689320388345
BIC,M2_power,M5_power,0.0048543689320388345
BIC,M2_power,M6,0.0048543689320388345
BIC,M2_power,M7,0.0
BIC,M2_power,M8,0.019417475728155338
BIC,M2_power,preference,0.0
BIC,M3,M0,0.21844660194174756
BIC,M3,M1,0.04854368932038835
BIC,M3,M2,0.03398058252427184
BIC,M3,M2_power,0.0
BIC,M3,M3,0.45792880258899676
BIC,M3,M4,0.15210355987055016
BIC,M3,M5,0.021035598705501618
BIC,M3,M5_power,0.0
BIC,M3,M6,0.04854368932038835
BIC,M3,M7,0.0024271844660194173
BIC,M3,M8,0.0048543689320388345
BIC,M3,preference,0.012135922330097087
BIC,M4,M0,0.18446601941747573
BIC,M4,M1,0.07766990291262135
BIC,M4,M2,0.019417475728155338
BIC,M4,M2_power,0.0048543689320388345
BIC,M4,M3,0.2394822006472492
BIC,M4,M4,0.3851132686084142
BIC,M4,M5,0.02912621359223301
BIC,M4,M5_power,0.0
BIC,M4,M6,0.045307443365695796
BIC,M4,M7,0.0
BIC,M4,M8,0.009708737864077669
BIC,M4,preference,0.0048543689320388345
BIC,M5,M0,0.2766990291262136
BIC,M5,M1,0.07281553398058252
BIC,M5,M2,0.024271844660194174
BIC,M5,M2_power,0.0
BIC,M5,M3,0.03640776699029126
BIC,M5,M4,0.08009708737864078
BIC,M5,M5,0.45145631067961167
BIC,M5,M5_power,0.014563106796116505
BIC,M5,M6,0.014563106796116505
BIC,M5,M7,0.0048543689320388345
BIC,M5,M8,0.0
BIC,M5,preference,0.024271844660194174
BIC,M5_power,M0,0.16990291262135923
BIC,M5_power,M1,0.05339805825242718
BIC,M5_power,M2,0.014563106796116505
BIC,M5_power,M2_power,0.19902912621359223
BIC,M5_power,M3,0.0412621359223301
BIC,M5_power,M4,0.055825242718446605
BIC,M5_power,M5,0.25728155339805825
BIC,M5_power,M5_power,0.17475728155339806
BIC,M5_power,M6,0.0048543689320388345
BIC,M5_power,M7,0.0024271844660194173
BIC,M5_power,M8,0.0048543689320388345
BIC,M5_power,preference,0.021844660194174758
BIC,M6,M0,0.3058252427184466
BIC,M6,M1,0.09223300970873786
BIC,M6,M2,0.02912621359223301
BIC,M6,M2_power,0.0
BIC,M6,M3,0.07847896440129451
BIC,M6,M4,0.09789644012944984
BIC,M6,M5,0.0048543689320388345
BIC,M6,M5_power,0.0
BIC,M6,M6,0.34789644012944987
BIC,M6,M7,0.014563106796116505
BIC,M6,M8,0.0048543689320388345
BIC,M6,preference,0.024271844660194174
BIC,M7,M0,0.22330097087378642
BIC,M7,M1,0.043689320388349516
BIC,M7,M2,0.024271844660194174
BIC,M7,M2_power,0.0
BIC,M7,M3,0.1035598705501618
BIC,M7,M4,0.13511326860841424
BIC,M7,M5,0.19579288025889968
BIC,M7,M5_power,0.019417475728155338
BIC,M7,M6,0.16747572815533981
BIC,M7,M7,0.012135922330097087
BIC,M7,M8,0.014563106796116505
BIC,M7,preference,0.06067961165048544
BIC,M8,M0,0.4320388349514563
BIC,M8,M1,0.11650485436893204
BIC,M8,M2,0.0825242718446602
BIC,M8,M2_power,0.009708737864077669
BIC,M8,M3,0.009708737864077669
BIC,M8,M4,0.009708737864077669
BIC,M8,M5,0.0048543689320388345
BIC,M8,M5_power,0.0
BIC,M8,M6,0.014563106796116505
BIC,M8,M7,0.0
BIC,M8,M8,0.32038834951456313
BIC,M8,preference,0.0
BIC,preference,M0,0.2087378640776699
BIC,preference,M1,0.043689320388349516
BIC,preference,M2,0.024271844660194174
BIC,preference,M2_power,0.0
BIC,preference,M3,0.10841423948220064
BIC,preference,M4,0.16181229773462785
BIC,preference,M5,0.17152103559870552
