model,n,k,log_likelihood,AIC,AICc,BIC,pseudo_r2_fareri,pseudo_r2_mcfadden,converged,n_starts,n_converged,n_near_best,boundary_parameters,optimizer_message,participant_id,kappa,alpha,theta,theta_stranger,alpha_negative,phi,base_model,theta_upper,theta_at_upper,theta_near_upper,theta_stranger_at_upper,theta_stranger_near_upper,kappa_theta
M5_theta5,42,3,-15.490213213491392,36.98042642698279,37.612005374351206,42.19343528183289,0.3648633593313424,0.4679130051091256,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10317,0.8687603401148629,0.2264304277668997,5.0,,,,M5,5,True,True,False,False,4.343801700574314
M6_theta5,42,3,-25.176742828392214,56.35348565678443,56.985064604152846,61.56649451163453,0.0321322107874973,0.1351818565652804,True,100,100,75,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10317,1.1335727662335218,0.0,0.7334081295505631,,,,M6,5,False,False,False,False,0.8313714821927849
M7_theta5,42,4,-15.24237659484558,38.48475318969116,39.56583427077224,45.435431662824634,0.3390266359928195,0.4764261636965304,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10317,1.0180380160668647,0.1900509038972222,5.0,0.2153487260334419,,,M7,5,True,True,False,False,5.090190080334324
M4_theta5,42,3,-15.016604100035003,36.03320820007001,36.664787147438425,41.24621705492011,0.3811317764576127,0.4841814222353957,True,100,100,72,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10317,17.45356038478514,0.0108303950709257,0.9709533917556996,,,,M4,5,False,False,False,False,16.946593653820045
M5_theta5,41,3,-22.798392074347458,51.596784148694915,52.24543279734356,56.73750034880784,0.0922143339373117,0.1977773857096749,True,100,100,98,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10369,0.3004005843969202,0.4019890381074657,5.0,,,,M5,5,True,True,False,False,1.502002921984601
M6_theta5,41,3,-26.77425031797507,59.54850063595015,60.197149284598794,64.68921683606307,-0.0476869092665679,0.0578761425057953,True,100,100,98,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10369,0.0689062131166766,0.4374271398984581,5.0,,,,M6,5,True,True,False,False,0.34453106558338303
M7_theta5,41,4,-22.76892368701881,53.53784737403762,54.64895848514873,60.392135640854846,0.0580635743122647,0.198814310008749,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10369,0.3047050952653569,0.3977579869027789,5.0,0.1752250569938099,,,M7,5,True,True,False,False,1.5235254763267845
M5_theta5,83,3,-54.85934863907055,115.7186972781411,116.02249474649552,122.97521910153088,-0.0057035584415984,0.0464420454459544,True,100,100,40,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10402,0.0806643996931284,0.1604970192633942,5.0,,,,M5,5,True,True,False,False,0.403321998465642
M6_theta5,83,3,-53.24048410196415,112.4809682039283,112.78476567228272,119.73749002731807,0.0224353311915871,0.0745809350791399,True,100,99,49,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10402,0.0433277609933774,1.0,5.0,,,,M6,5,True,True,False,False,0.216638804966887
M7_theta5,83,4,-53.16028879073413,114.32057758146826,114.83339809428875,123.99594001265464,0.0064474075400827,0.0759748793901532,True,100,100,45,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10402,0.2216894996303248,0.1118863854952951,2.1345291604379195,1.3442020507163266,,,M7,5,False,False,False,False,0.47320270152381966
M4_theta5,83,3,-52.950040173853374,111.90008034770676,112.20387781606118,119.15660217109654,0.0274837892005236,0.0796293930880764,True,100,100,53,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10402,0.5459512107812343,0.0751551943699134,1.3561131377675355,,,,M4,5,False,False,False,False,0.7403716095205248
M5_theta5,84,3,-41.62557464918706,89.25114929837412,89.55114929837411,96.54359969490406,0.233558389961876,0.2850832128507676,True,100,100,99,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10418,0.400751225213065,0.0,5.0,,,,M5,5,True,True,False,False,2.003756126065325
M6_theta5,84,3,-53.25741498540761,112.5148299708152,112.8148299708152,119.80728036734516,0.0337822188966665,0.0853070417855581,True,100,100,89,theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10418,0.0806353397408948,0.0080354969907445,5.0,,,,M6,5,True,True,False,False,0.40317669870447403
M7_theta5,84,4,-41.17642905641763,90.35285811283526,90.85918722675932,100.07612530820852,0.2240974980385025,0.2927972618903579,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10418,0.4613355900618981,0.0,5.0,0.3516159986769865,,,M7,5,True,True,False,False,2.3066779503094907
M4_theta5,84,3,-54.99798651680431,115.99597303360862,116.29597303360862,123.28842343013856,0.0038880056031125,0.0554128284920041,True,100,100,91,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10418,0.0547363871124852,0.0,5.0,,,,M4,5,True,True,False,False,0.273681935562426
M5_theta5,41,3,-24.78647116742218,55.57294233484436,56.22159098349301,60.71365853495729,0.0222584351940451,0.1278214869664082,True,100,100,47,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10462,0.9196538280263116,0.0147464799705584,0.656601659150501,,,,M5,5,False,False,False,False,0.6038462293261857
M6_theta5,41,3,-25.307048185432382,56.61409637086477,57.26274501951342,61.75481257097769,0.0039405356261405,0.1095035873985037,True,100,100,38,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10462,1.5209829814536304,0.0485917229156033,0.5755334798521836,,,,M6,5,False,False,False,False,0.8753766281119572
M7_theta5,41,4,-24.25819044492752,56.51638088985504,57.62749200096615,63.370669156672264,0.0056597263562726,0.1464104620527568,True,100,100,40,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10462,1.53871684690945,0.0538685533180802,0.747119147968228,0.4052432601321505,,,M7,5,False,False,False,False,1.1496048196273467
M4_theta5,41,3,-25.548128022768942,57.096256045537885,57.74490469418653,62.2369722456508,-0.0045425054905366,0.1010205462818265,True,100,100,48,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10462,3.10975300267764,0.0175655265875501,0.5224023435791264,,,,M4,5,False,False,False,False,1.6245422565510244
M5_theta5,82,3,-43.523919315833865,93.04783863166772,93.35553093936004,100.26799637346048,0.1814655161015637,0.2342470419877452,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10478,0.3146261542522986,0.1239457579277335,5.0,,,,M5,5,True,True,False,False,1.573130771261493
M6_theta5,82,3,-50.15250822972903,106.30501645945806,106.61270876715037,113.52517420125082,0.0648431703190257,0.1176246962052073,True,100,100,92,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10478,0.0961228998310381,0.0,5.0,,,,M6,5,True,True,False,False,0.4806144991551905
M7_theta5,82,4,-42.83268084172224,93.66536168344447,94.184842202925,103.2922386725015,0.1760332146111189,0.246408582459361,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10478,0.3337452963350448,0.0991810392882151,5.0,0.4857723472269484,,,M7,5,True,True,False,False,1.668726481675224
