participant_id,n_bids_files,age,sex,n_trials,n_valid,n_feedback,n_runs,primary_include,missed_fraction,minimum_partner_feedback,complete_ratings,sensitivity_include
sub-10317,1,63,F,42.0,42.0,35.0,1,True,0.0,10.0,True,True
sub-10369,1,32,M,42.0,41.0,38.0,1,True,0.023809523809523836,12.0,False,True
sub-10402,2,36,M,84.0,83.0,82.0,2,True,0.011904761904761862,27.0,True,True
sub-10418,2,68,F,84.0,84.0,80.0,2,True,0.0,26.0,True,True
sub-10462,1,62,M,42.0,41.0,33.0,1,True,0.023809523809523836,9.0,True,True
sub-10478,2,28,F,84.0,82.0,75.0,2,True,0.023809523809523836,23.0,False,True
sub-10486,2,42,F,42.0,42.0,42.0,1,True,0.0,14.0,True,True
sub-10529,2,68,M,84.0,81.0,79.0,2,True,0.0357142857142857,26.0,True,True
sub-10541,2,69,M,84.0,82.0,78.0,2,True,0.023809523809523836,25.0,True,True
sub-10555,2,28,F,42.0,41.0,37.0,1,True,0.023809523809523836,12.0,True,True
sub-10559,2,28,M,84.0,78.0,51.0,2,True,0.0714285714285714,16.0,True,True
sub-10572,2,70,F,84.0,83.0,72.0,2,True,0.011904761904761862,24.0,True,True
sub-10581,2,48,M,84.0,79.0,65.0,2,True,0.059523809523809534,19.0,False,True
sub-10584,2,50,F,84.0,83.0,69.0,2,True,0.011904761904761862,20.0,True,True
sub-10585,2,63,F,84.0,84.0,78.0,2,True,0.0,24.0,True,True
sub-10589,2,34,M,84.0,84.0,83.0,2,True,0.0,27.0,True,True
sub-10590,2,56,F,84.0,84.0,71.0,2,True,0.0,18.0,True,True
sub-10596,2,27,F,84.0,82.0,76.0,2,True,0.023809523809523836,20.0,True,True
sub-10603,2,69,F,84.0,84.0,61.0,2,True,0.0,17.0,True,True
sub-10606,2,22,F,84.0,81.0,81.0,2,True,0.0357142857142857,26.0,True,True
sub-10608,1,29,F,42.0,42.0,33.0,1,True,0.0,9.0,True,True
sub-10617,2,73,F,42.0,42.0,39.0,1,True,0.0,11.0,True,True
sub-10636,2,27,F,84.0,82.0,78.0,2,True,0.023809523809523836,26.0,True,True
sub-10638,2,72,F,84.0,83.0,83.0,2,True,0.011904761904761862,27.0,True,True
sub-10640,2,31,F,84.0,83.0,58.0,2,True,0.011904761904761862,17.0,True,True
sub-10641,1,44,F,42.0,42.0,37.0,1,True,0.0,10.0,True,True
sub-10642,2,32,F,84.0,84.0,64.0,2,True,0.0,16.0,True,True
sub-10644,2,69,F,84.0,82.0,60.0,2,True,0.023809523809523836,15.0,True,True
sub-10647,2,24,F,84.0,83.0,56.0,2,True,0.011904761904761862,17.0,True,True
sub-10649,2,63,F,84.0,77.0,77.0,2,True,0.08333333333333337,24.0,True,True
sub-10652,2,70,F,84.0,84.0,81.0,2,True,0.0,26.0,True,True
sub-10656,2,21,M,84.0,84.0,64.0,2,True,0.0,16.0,True,True
sub-10657,2,59,M,84.0,83.0,73.0,2,False,0.011904761904761862,24.0,True,False
sub-10661,2,50,M,84.0,84.0,83.0,2,True,0.0,27.0,True,True
sub-10663,2,22,F,84.0,76.0,70.0,2,True,0.09523809523809523,19.0,True,True
sub-10668,2,37,F,42.0,37.0,29.0,1,True,0.11904761904761907,7.0,True,True
sub-10673,2,48,F,84.0,84.0,73.0,2,True,0.0,23.0,True,True
sub-10674,2,33,M,84.0,84.0,84.0,2,True,0.0,28.0,True,True
sub-10677,2,33,F,84.0,82.0,70.0,2,True,0.023809523809523836,22.0,True,True
sub-10685,2,34,M,84.0,83.0,59.0,2,True,0.011904761904761862,16.0,True,True
sub-10690,1,56,F,42.0,41.0,37.0,1,True,0.023809523809523836,12.0,True,True
sub-10691,2,58,F,84.0,84.0,82.0,2,True,0.0,27.0,True,True
sub-10700,2,23,F,84.0,84.0,59.0,2,True,0.0,17.0,False,True
sub-10701,2,27,M,84.0,83.0,55.0,2,True,0.011904761904761862,17.0,True,True
sub-10713,2,71,F,84.0,81.0,62.0,2,True,0.0357142857142857,17.0,True,True
sub-10716,2,69,M,84.0,84.0,82.0,2,True,0.0,26.0,True,True
sub-10718,2,28,O,84.0,84.0,84.0,2,True,0.0,28.0,True,True
